state,state_node_size,state_infection,region,region_node_size,region_infection,station_name,county,county_node_size,county_infection,local,local_node_size,local_infection
Florida,5000,0.001,Region A,3000,0.01,Node 2,Node 2,1000,0.16,Node 3,500,0.02
Florida,5000,0.001,Region A,3000,0.01,Node 2,Node 2,1000,0.03,Node 4,500,0.11
Florida,5000,0.001,Region A,3000,0.01,Node 2,Node 2,1000,0,Node 5,500,0.16
Florida,5000,0.001,Region A,3000,0.01,Node 6,Node 6,1000,0.15,Node 7,500,0.16
Florida,5000,0.001,Region A,3000,0.01,Node 6,Node 6,1000,0.17,Node 8,500,0.07
Florida,5000,0.001,Region A,3000,0.01,Node 6,Node 6,1000,0.24,Node 9,500,0.2
Florida,5000,0.001,Region A,3000,0.01,Node 10,Node 10,1000,0.2,Node 11,500,0.38
Florida,5000,0.001,Region A,3000,0.01,Node 10,Node 10,1000,0.17,Node 12,500,0.45
Florida,5000,0.001,Region A,3000,0.01,Node 10,Node 10,1000,0.1,Node 13,500,0.19
Florida,5000,0.001,Region A,3000,0.01,Node 14,Node 14,1000,0.11,Node 15,500,0.5
Florida,5000,0.001,Region A,3000,0.01,Node 14,Node 14,1000,0.25,Node 16,500,0.1
Florida,5000,0.001,Region A,3000,0.01,Node 14,Node 14,1000,0.22,Node 17,500,0.52
Florida,5000,0.001,Region A,3000,0.01,Node 18,Node 18,1000,0.06,Node 19,500,0.72
Florida,5000,0.001,Region A,3000,0.01,Node 18,Node 18,1000,0.16,Node 20,500,0.65
Florida,5000,0.001,Region A,3000,0.01,Node 18,Node 18,1000,0.09,Node 21,500,0.22
Florida,5000,0.001,Region A,3000,0.01,Node 22,Node 22,1000,0.18,Node 23,500,0.47
Florida,5000,0.001,Region A,3000,0.01,Node 22,Node 22,1000,0.03,Node 24,500,0.16
Florida,5000,0.001,Region A,3000,0.01,Node 22,Node 22,1000,0.09,Node 25,500,0.3
Florida,5000,0.001,Region A,3000,0.01,Node 26,Node 26,1000,0.23,Node 27,500,0.45
Florida,5000,0.001,Region A,3000,0.01,Node 26,Node 26,1000,0.18,Node 28,500,0.05
Florida,5000,0.001,Region A,3000,0.01,Node 26,Node 26,1000,0.16,Node 29,500,0.75
Florida,5000,0.001,Region A,3000,0.01,Node 30,Node 30,1000,0.25,Node 31,500,0.01
Florida,5000,0.001,Region A,3000,0.01,Node 30,Node 30,1000,0,Node 32,500,0.57
Florida,5000,0.001,Region A,3000,0.01,Node 30,Node 30,1000,0.23,Node 33,500,0.41
Florida,5000,0.001,Region A,3000,0.01,Node 34,Node 34,1000,0,Node 35,500,0.01
Florida,5000,0.001,Region A,3000,0.01,Node 34,Node 34,1000,0.21,Node 36,500,0.66
Florida,5000,0.001,Region A,3000,0.01,Node 34,Node 34,1000,0.11,Node 37,500,0.01
Florida,5000,0.001,Region A,3000,0.01,Node 38,Node 38,1000,0.05,Node 39,500,0.54
