state,region,station_name,county,local,Infection Suseptability,Infection Isolation,Rate of Spread
Florida,A,Node 2,Node 2,Node 3,0.02,,
Florida,A,Node 2,Node 2,Node 4,,,
Florida,A,Node 2,Node 2,Node 5,,,
Florida,A,Node 6,Node 6,Node 7,,,
Florida,A,Node 6,Node 6,Node 8,,,
Florida,A,Node 6,Node 6,Node 9,,,
Florida,A,Node 10,Node 10,Node 11,,,
Florida,A,Node 10,Node 10,Node 12,,,
Florida,A,Node 10,Node 10,Node 13,,,
Florida,A,Node 14,Node 14,Node 15,,,
Florida,A,Node 14,Node 14,Node 16,,,
Florida,A,Node 14,Node 14,Node 17,,,
Florida,A,Node 18,Node 18,Node 19,,,
Florida,A,Node 18,Node 18,Node 20,,,
Florida,A,Node 18,Node 18,Node 21,,,
Florida,A,Node 22,Node 22,Node 23,,,
Florida,A,Node 22,Node 22,Node 24,,,
Florida,A,Node 22,Node 22,Node 25,,,
Florida,A,Node 26,Node 26,Node 27,,,
Florida,A,Node 26,Node 26,Node 28,,,
Florida,A,Node 26,Node 26,Node 29,,,
Florida,A,Node 30,Node 30,Node 31,,,
Florida,A,Node 30,Node 30,Node 32,,,
Florida,A,Node 30,Node 30,Node 33,,,
Florida,A,Node 34,Node 34,Node 35,,,
Florida,A,Node 34,Node 34,Node 36,,,
Florida,A,Node 34,Node 34,Node 37,,,
Florida,A,Node 38,Node 38,Node 39,,,
Florida,A,Node 38,Node 38,Node 40,,,
Florida,A,Node 38,Node 38,Node 41,,,
Florida,B ,Node 43,Node 43,Node 44,,,
Florida,B ,Node 43,Node 43,Node 45,,,
Florida,B ,Node 43,Node 43,Node 47,,,
Florida,B ,Node 48,Node 48,Node 49,,,
Florida,B ,Node 48,Node 48,Node 50,,,
Florida,B ,Node 48,Node 48,Node 51,,,
Florida,B ,Node 52,Node 52,Node 53,,,
Florida,B ,Node 52,Node 52,Node 54,,,
Florida,B ,Node 52,Node 52,Node 55,,,
Florida,B ,Node 56,Node 56,Node 57,,,
Florida,B ,Node 56,Node 56,Node 58,,,
Florida,B ,Node 56,Node 56,Node 59,,,
Florida,B ,Node 60,Node 60,Node 61,,,
Florida,B ,Node 60,Node 60,Node 62,,,
Florida,B ,Node 60,Node 60,Node 63,,,
Florida,B ,Node 64,Node 64,Node 65,,,
Florida,B ,Node 64,Node 64,Node 66,,,
Florida,B ,Node 64,Node 64,Node 67,,,
Florida,B ,Node 68,Node 68,Node 69,,,
Florida,B ,Node 68,Node 68,Node 70,,,
Florida,B ,Node 68,Node 68,Node 71,,,
Florida,B ,Node 72,Node 72,Node 73,,,
Florida,B ,Node 72,Node 72,Node 74,,,
Florida,B ,Node 72,Node 72,Node 75,,,
Florida,B ,Node 76,Node 76,Node 77,,,
Florida,B ,Node 76,Node 76,Node 78,,,
Florida,B ,Node 76,Node 76,Node 79,,,
Florida,B ,Node 80,Node 80,Node 81,,,
Florida,B ,Node 80,Node 80,Node 82,,,
Florida,B ,Node 80,Node 80,Node 83,,,
Florida,B ,Node 84,Node 84,Node 85,,,
Florida,B ,Node 84,Node 84,Node 86,,,
Florida,B ,Node 84,Node 84,Node 87,,,
Florida,B ,Node 88,Node 88,Node 89,,,
Florida,B ,Node 88,Node 88,Node 90,,,
